key,filename,category,priority,seconds,label,prompt
"arena-cliff","arena-cliff.mp4","arena","1","6","Establishing — cliff arena","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a slow push in across a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below, empty, torches guttering, ready for a duel."
"arena-rooftop","arena-rooftop.mp4","arena","1","6","Establishing — rooftop arena","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a slow push in across a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges, empty, projector pylons pulsing, ready for a duel."
"open-joey","open-joey.mp4","duelist","1","5","Joey Wheeler — Duel start","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed raises their left arm and the Duel Disk snaps open, card slots swinging out and igniting one after another, light washing up across their face; they lock eyes with an unseen opponent across a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"open-kaiba","open-kaiba.mp4","duelist","1","5","Seto Kaiba — Duel start","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists raises their left arm and the Duel Disk snaps open, card slots swinging out and igniting one after another, light washing up across their face; they lock eyes with an unseen opponent across a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"open-mai","open-mai.mp4","duelist","1","5","Mai Valentine — Duel start","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked raises their left arm and the Duel Disk snaps open, card slots swinging out and igniting one after another, light washing up across their face; they lock eyes with an unseen opponent across a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"open-yugi","open-yugi.mp4","duelist","1","5","Yugi Muto — Duel start","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck raises their left arm and the Duel Disk snaps open, card slots swinging out and igniting one after another, light washing up across their face; they lock eyes with an unseen opponent across a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"play-activate-joey","play-activate-joey.mp4","duelist","1","5","Joey Wheeler — Activate a Spell or Trap","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, throwing their arm up as a huge holographic card flips face-up in front of them, its frame blazing, flooding the arena with light; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"play-activate-kaiba","play-activate-kaiba.mp4","duelist","1","5","Seto Kaiba — Activate a Spell or Trap","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, throwing their arm up as a huge holographic card flips face-up in front of them, its frame blazing, flooding the arena with light; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"play-activate-mai","play-activate-mai.mp4","duelist","1","5","Mai Valentine — Activate a Spell or Trap","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, throwing their arm up as a huge holographic card flips face-up in front of them, its frame blazing, flooding the arena with light; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"play-activate-yugi","play-activate-yugi.mp4","duelist","1","5","Yugi Muto — Activate a Spell or Trap","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck, throwing their arm up as a huge holographic card flips face-up in front of them, its frame blazing, flooding the arena with light; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
